brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_group,car_age,price_per_hp,price_per_liter,age_bucket,price_bucket
nissan,x-trail,Nissan X-Trail,115000.0,2019,1,177.0,1,diesel,2.0,0,1,1,1,0,0,Budget,6,649.7175141242938,57500.0,4-6,100-200k
renault,clio,Renault Clio 4th generation (2013-2019),35000.0,2017,1,118.0,0,petrol,1.2,1,1,1,0,0,0,Budget,8,296.6101694915254,29166.666666666668,7-10,0-50k
hyundai,i10,Hyundai i10,33600.0,2017,2,66.0,0,petrol,1.0,1,1,1,0,0,0,Budget,8,509.09090909090907,33600.0,7-10,0-50k
ford,focus,Ford Focus,18600.0,2012,2,170.0,0,petrol,2.0,1,0,0,1,0,0,Other,13,109.41176470588235,9300.0,11-15,0-50k
fiat,ducato,Fiat Ducato long,3000.0,2015,3,130.0,0,diesel,2.3,1,0,0,0,0,0,Budget,10,23.076923076923077,1304.3478260869567,7-10,0-50k
peugeot,3008,Peugeot 3008,125000.0,2021,1,130.0,0,diesel,1.5,0,1,1,0,1,1,Other,4,961.5384615384615,83333.33333333333,4-6,100-200k
toyota,corolla,Toyota Corolla,52000.0,2015,2,132.0,0,petrol,1.6,1,0,0,1,0,0,Budget,10,393.93939393939394,32500.0,7-10,50-100k
nissan,juke,Nissan Juke / Juke,21000.0,2012,3,117.0,0,petrol,1.6,1,1,0,0,0,0,Budget,13,179.48717948717947,13125.0,11-15,0-50k
nissan,juke,Nissan Juke / Juke,40000.0,2015,3,117.0,0,petrol,1.6,1,1,0,0,0,0,Budget,10,341.88034188034186,25000.0,7-10,0-50k
kia,sportage,Kia Sportage,56700.0,2016,2,132.0,0,petrol,1.6,1,1,1,0,0,0,Budget,9,429.54545454545456,35437.5,7-10,50-100k
seat,arona,Seat Arona,70000.0,2020,1,115.0,0,petrol,1.0,0,1,1,0,1,1,Budget,5,608.695652173913,70000.0,4-6,50-100k
toyota,corolla hybrid,Toyota Corolla Hybrid,107000.0,2021,1,98.0,0,hybrid,1.8,0,0,1,1,0,0,Budget,4,1091.8367346938776,59444.444444444445,4-6,100-200k
hyundai,ix35,Hyundai iX35,45000.0,2015,2,154.0,0,petrol,2.0,1,0,0,0,0,0,Budget,10,292.2077922077922,22500.0,7-10,0-50k
mazda,cx-5,Mazda CX-5,151000.0,2021,2,165.0,0,petrol,2.0,0,1,1,0,1,1,Other,4,915.1515151515151,75500.0,4-6,100-200k
toyota,corolla hybrid,Toyota Corolla Hybrid,99000.0,2019,1,98.0,0,hybrid,1.8,0,0,0,1,1,1,Budget,6,1010.204081632653,55000.0,4-6,50-100k
