brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group,brand_raw,model_raw
mercedes-benz,a-class,Mercedes A-Class,210000.0,2022,1,160.0,0,hybrid,1.3,1,0,0,0,0,0,mercedes,Luxury,Mercedes,A-Class
alfa romeo,giulia,Alfa Romeo Giulia,92400.0,2018,1,197.0,0,petrol,2.0,0,1,1,1,0,0,alfa romeo,Other,Alfa Romeo,Giulia
toyota,sequoia,Toyota Sequoia,120000.0,2008,4,381.0,1,petrol,5.8,1,0,0,0,0,0,toyota,Budget,Toyota,Sequoia
hyundai,santa fe,Hyundai Santa Fe,92500.0,2017,1,192.0,1,petrol,2.4,1,1,1,0,0,0,hyundai,Budget,Hyundai,Santa Fe
skoda,karoq,Skoda Karoq,82300.0,2018,2,115.0,0,petrol,1.0,0,1,1,0,1,1,skoda,Budget,Skoda,Karoq
skoda,karoq,Skoda Karoq,99000.0,2019,2,150.0,0,petrol,1.5,0,1,1,0,1,1,skoda,Budget,Skoda,Karoq
hyundai,i20,Hyundai i20,74000.0,2020,2,100.0,0,petrol,1.0,1,0,1,0,0,0,hyundai,Budget,Hyundai,i20
renault,clio estate,Renault Clio Estate,27800.0,2016,3,118.0,0,petrol,1.2,0,1,1,1,0,0,renault,Budget,Renault,Clio Estate
jeep,compass,Jeep Compass,129000.0,2021,1,150.0,0,petrol,1.3,0,1,1,0,1,1,jeep,Other,Jeep,Compass
seat,leon,Seat Leon,105000.0,2018,5,290.0,0,petrol,2.0,1,1,0,1,0,0,seat,Budget,Seat,Leon
alfa romeo,mito,Alfa Romeo Mito / MITO,70000.0,2018,2,170.0,0,petrol,1.4,1,1,0,1,0,0,alfa romeo,Other,Alfa Romeo,Mito
audi,q2,Audi Q2,86800.0,2017,1,150.0,0,petrol,1.4,1,1,1,0,0,0,audi,Luxury,Audi,Q2
mercedes-benz,sprinter,Mercedes Sprinter commercial,195000.0,2021,1,143.0,0,diesel,2.1,1,0,1,0,1,1,mercedes,Luxury,Mercedes,Sprinter
citroën,berlingo,Citroen Berlingo 2nd generation (2008-2019),53000.0,2018,3,100.0,0,diesel,1.6,1,0,1,1,0,0,citroen,Other,Citroen,Berlingo
geely,geometry c,Geely - Geely Geometry C,156900.0,2024,1,204.0,0,electric,,0,1,0,1,0,0,geely,Other,Geely,Geely Geometry C
dodge,ram,Dodge Ram short,189900.0,2022,1,370.0,1,petrol,6.7,1,0,0,0,0,0,dodge,Other,Dodge,Ram
nissan,micra,Nissan Micra,40000.0,2018,1,80.0,0,petrol,1.2,1,0,0,0,0,0,nissan,Budget,Nissan,Micra
nissan,qashqai,Nissan Qashqai,63000.0,2017,2,130.0,0,diesel,1.6,0,1,1,1,0,0,nissan,Budget,Nissan,Qashqai
hyundai,ioniq,Hyundai Ioniq,116900.0,2021,1,141.0,0,hybrid,1.6,0,1,1,0,0,0,hyundai,Budget,Hyundai,Ioniq
suzuki,ignis,Suzuki Ignis,70000.0,2021,1,83.0,0,hybrid,1.2,0,1,1,0,0,0,suzuki,Budget,Suzuki,Ignis
hyundai,i10,Hyundai i10,72900.0,2021,1,84.0,0,petrol,1.2,1,1,1,0,0,0,hyundai,Budget,Hyundai,i10
mazda,3,Mazda 3,54900.0,2016,1,120.0,0,petrol,1.5,1,1,0,1,0,0,mazda,Other,Mazda,3
nissan,qashqai,Nissan Qashqai,100000.0,2019,1,115.0,0,petrol,1.2,0,1,1,0,0,0,nissan,Budget,Nissan,Qashqai
bmw,7 series,BMW 7 Series,77000.0,2014,6,258.0,0,petrol,3.0,1,1,0,0,0,0,bmw,Luxury,BMW,7 Series
kia,sportage,Kia Sportage,88000.0,2019,1,155.0,0,petrol,2.0,0,1,1,0,0,0,kia,Budget,Kia,Sportage
hyundai,sonata hybrid,Hyundai Sonata Hybrid,3000.0,2019,2,154.0,0,hybrid,2.0,0,1,1,0,1,1,hyundai,Budget,Hyundai,Sonata Hybrid
kia,picanto,Kia Picanto,79800.0,2022,1,84.0,0,petrol,1.2,0,1,1,0,0,0,kia,Budget,Kia,Picanto
chevrolet,trax,Chevrolet Trax,44900.0,2017,1,140.0,0,electric,1.4,0,1,1,1,0,0,chevrolet,Budget,Chevrolet,Trax
nissan,x-trail,Nissan X-Trail,115000.0,2020,2,150.0,1,diesel,1.7,0,1,1,1,0,0,nissan,Budget,Nissan,X-Trail
skoda,octavia,Skoda Octavia,99800.0,2021,1,110.0,0,petrol,1.0,1,0,0,0,0,0,skoda,Budget,Skoda,Octavia
toyota,corolla hybrid,Toyota Corolla Hybrid,111900.0,2022,1,98.0,0,hybrid,1.8,0,1,1,0,0,0,toyota,Budget,Toyota,Corolla Hybrid
chevrolet,trax,Chevrolet Trax,69000.0,2019,2,140.0,0,electric,1.4,1,1,1,0,0,0,chevrolet,Budget,Chevrolet,Trax
citroën,berlingo,Citroen Berlingo 3rd generation (2018 onwards),79000.0,2020,1,130.0,0,diesel,1.5,1,0,1,1,0,0,citroen,Other,Citroen,Berlingo
lexus,rx350,Lexus RX350,25000.0,2007,5,276.0,1,petrol,3.5,1,1,0,0,0,0,lexus,Luxury,Lexus,RX350
nissan,qashqai,Nissan Qashqai,43375.0,2015,3,115.0,0,petrol,1.2,1,1,0,1,0,0,nissan,Budget,Nissan,Qashqai
seres,seres 3,SRS / SERES SERES 3,112000.0,2022,1,163.0,0,electric,,0,0,1,1,0,0,seres,Other,Seres,SERES 3
